Item_Identifier,Outlet_Identifier,Predicted_Weekly_Demand,EOQ,Safety_Stock,Reorder_Point,Inventory_Status
FD,OUT049,1640.4976,2384.76,1432.32,3068.29,Medium Stock Required
FD,OUT017,1444.3237,2237.63,1261.02,2701.41,Low Stock Required
NC,OUT010,586.11084,1425.43,511.72,1096.22,Low Stock Required
FD,OUT017,2539.5867,2967.14,2217.32,4749.92,Medium Stock Required
FD,OUT027,5949.374,4541.42,5194.37,11127.43,High Stock Required
FD,OUT046,2003.1805,2635.22,1748.99,3746.65,Medium Stock Required
FD,OUT018,709.74585,1568.58,619.68,1327.45,Low Stock Required
FD,OUT027,2184.9722,2752.19,1907.68,4086.64,Medium Stock Required
FD,OUT045,1517.7314,2293.79,1325.14,2838.68,Medium Stock Required
FD,OUT017,3055.6636,3254.68,2667.88,5715.19,High Stock Required
FD,OUT017,1980.8514,2620.49,1729.48,3704.88,Medium Stock Required
FD,OUT045,1441.7411,2235.63,1258.79,2696.59,Low Stock Required
NC,OUT019,529.9213,1355.38,462.65,991.15,Low Stock Required
FD,OUT049,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
DR,OUT013,728.8136,1589.51,636.31,1363.12,Low Stock Required
FD,OUT049,2532.7249,2963.13,2211.3,4737.11,Medium Stock Required
FD,OUT045,3095.8364,3276.01,2702.98,5790.33,High Stock Required
DR,OUT018,2858.4668,3147.91,2495.71,5346.32,Medium Stock Required
NC,OUT027,3267.6155,3365.67,2852.93,6111.57,High Stock Required
FD,OUT010,493.79254,1308.36,431.14,923.59,Low Stock Required
FD,OUT013,2915.3003,3179.05,2545.34,5452.65,Medium Stock Required
NC,OUT035,4008.9968,3727.98,3500.25,7498.23,High Stock Required
FD,OUT046,730.61676,1591.48,637.89,1366.52,Low Stock Required
NC,OUT019,320.00616,1053.26,279.39,598.52,Low Stock Required
FD,OUT035,2971.8018,3209.71,2594.67,5558.33,Medium Stock Required
FD,OUT010,660.9168,1513.66,577.03,1236.15,Low Stock Required
NC,OUT035,729.87726,1590.67,637.27,1365.13,Low Stock Required
NC,OUT046,2657.698,3035.35,2320.43,4970.84,Medium Stock Required
DR,OUT046,4011.793,3729.28,3502.69,7503.47,High Stock Required
FD,OUT035,2004.5411,2636.11,1750.17,3749.23,Medium Stock Required
NC,OUT019,71.68445,498.5,62.6,134.07,Low Stock Required
FD,OUT018,2858.4668,3147.91,2495.71,5346.32,Medium Stock Required
NC,OUT018,630.9031,1478.9,550.84,1180.0,Low Stock Required
FD,OUT027,5160.7144,4229.71,4505.8,9652.41,High Stock Required
FD,OUT017,2650.9058,3031.47,2314.5,4958.12,Medium Stock Required
FD,OUT027,5147.741,4224.39,4494.49,9628.15,High Stock Required
FD,OUT027,2184.9722,2752.19,1907.68,4086.64,Medium Stock Required
FD,OUT010,253.6918,937.8,221.5,474.48,Low Stock Required
NC,OUT017,3059.8726,3256.92,2671.55,5723.06,High Stock Required
NC,OUT027,2554.4426,2975.8,2230.28,4777.72,Medium Stock Required
NC,OUT018,1878.2461,2551.72,1639.9,3513.03,Medium Stock Required
FD,OUT010,258.83206,947.25,226.0,484.09,Low Stock Required
NC,OUT017,2903.0159,3172.35,2534.6,5429.66,Medium Stock Required
NC,OUT018,2343.6628,2850.39,2046.24,4383.47,Medium Stock Required
FD,OUT010,589.86035,1429.98,515.0,1103.21,Low Stock Required
